,date,average_price,price_change_pct
0,2016,5.3,
1,2017,5.8,9.433962264150942
2,2018,5.9,1.7241379310344973
3,2019,6.1,3.3898305084745672
4,2020,6.45,5.737704918032804
5,2021,6.48,0.46511627906977715
6,2022,6.4,-1.2345679012345734
7,2023,7.25,13.28125
8,2024,7.7,6.20689655172415
9,2025,7.75,0.6493506493506551
